,x,y,phi,dx
69,6.048387096774121,-49.596774193548384,6.939098270295156e-30,0.8064516129032258
70,6.854838709677345,-49.596774193548384,5.2697501241517796e-30,0.8064516129032258
71,7.6612903225805695,-49.596774193548384,3.9251293722895305e-30,0.8064516129032258
72,8.467741935483787,-49.596774193548384,2.8573173206485715e-30,0.8064516129032258
73,9.274193548387025,-49.596774193548384,2.0262460053419488e-30,0.8064516129032258
74,10.080645161290242,-49.596774193548384,1.3967137389329764e-30,0.8064516129032258
75,10.88709677419346,-49.596774193548384,9.344368364162351e-31,0.8064516129032258
76,11.693548387096683,-49.596774193548384,6.058094023702846e-31,0.8064516129032258
77,12.499999999999922,-49.596774193548384,3.798617704529568e-31,0.8064516129032258
78,13.306451612903139,-49.596774193548384,2.2991971091329047e-31,0.8064516129032258
